DICCIONARIO DE DATOS DENUE (15/06/2016),,,,
Nombre del Atributo en csv,Nombre del Atributo en DBF,Tipo de dato,Longitud,Descripción
tipo_asent,tipo_asent,alfanumérico,25,"Es la clasificación que se da al asentamiento humano de acuerdo con su función (colonia, fraccionamiento, unidad habitacional, etc.)"
nomb_asent,nomb_asent,alfanumérico,75,Es el sustantivo propio con el cual se identifica el asentamiento humano en el que se ubica la unidad económica.
tipoCenCom,tipoCenCom,alfanumérico,30,"Tipo de plaza, centro comercial, etcétera donde se encuentra la unidad económica."
nom_CenCom,nom_CenCom,alfanumérico,75,"Nombre de la plaza, centro comercial, etcétera donde se encuentra la unidad económica."
num_local,num_local,alfanumérico,35,Dato alfanumérico que corresponde al local en donde se localizó la unidad económica.
cod_postal,cod_postal,alfanumérico,5,Clave numérica integrada por cinco dígitos establecido por el Servicio Postal Mexicano.
cve_ent,cve_ent,alfanumérico,2,Clave que identifica a la entidad federativa estadística.
entidad,entidad,alfanumérico,40,Es el sustantivo propio que identifica a la entidad federativa.
cve_mun,cve_mun,alfanumérico,3,"Clave que identifica al Municipio estadístico, y en el caso de la Ciudad de México, las que identifican a las Alcaldías."
municipio,municipio,alfanumérico,100,"Es el sustantivo propio que identifica al Municipio, y en el caso de la Ciudad de México los que identifican a las Alcaldías."
cve_loc,cve_loc,alfanumérico,4,"Clave que identifica a la localidad estadística. Esta es el lugar ocupado con una o más edificaciones utilizadas como viviendas, las cuales pueden estar habitadas o no, este lugar es reconocido por un nombre dado por alguna disposición legal o la costumbre."
localidad,localidad,alfanumérico,100,"Es el sustantivo propio que identifica a la localidad. Esta es el lugar ocupado con una o más edificaciones utilizadas como viviendas, las cuales pueden estar habitadas o no, este lugar es reconocido por un nombre dado por alguna disposición legal o la costumbre."
ageb,ageb,alfanumérico,4,"Es la extensión territorial que corresponde a la subdivisión de las AGEM. Constituye la unidad básica del Marco Geoestadístico Nacional y, dependiendo de sus características, se clasifica en dos tipos, Áreas Geoestadísticas Básicas Urbanas y Áreas Geoestadísticas Básicas Rurales."
manzana,manzana,alfanumérico,3,"Clave geoestadística de la manzana, compuesta por tres dígitos, que identifica a una extensión territorial que está constituida por un grupo de viviendas, edificios, predios, lotes o terrenos de uso habitacional, comercial, industrial o de servicios."
telefono,telefono,alfanumérico,20,"Número telefónico, secuencia de dígitos que permite la comunicación vía telefónica con la unidad económica."
correoelec,correoelec,alfanumérico,75,"Correo electrónico, es la serie de caracteres cuya finalidad es acceder a un servicio de red que posibilita a las unidades económicas el envío y recepción de mensajes mediante sistemas de comunicación electrónicos."
www,www,alfanumérico,75,Son los datos que permiten el acceso a información de la unidad económica en Internet.
tipoUniEco,tipoUniEco,alfanumérico,8,"Grupo de categorías que sirve para identificar si el establecimiento es fijo o semifijo, bajo las siguientes definiciones: 
Establecimiento fijo: es la unidad que en una sola ubicación física, asentada en un lugar de manera permanente y delimitada por construcciones e instalaciones fijas, combina acciones y recursos bajo el control de una sola entidad propietaria o controladora para realizar alguna actividad económica con y sin fines de lucro, excepto las destinadas al autoconsumo. En este tipo de establecimiento están comprendidas las viviendas cuando en algún espacio de la casa-habitación, que también está destinado a otras actividades cotidianas, se realiza alguna actividad económica. 
Establecimiento semifijo: establecimientos que están fijos, enclavados en el suelo, y que permanecen de día y de noche en el mismo sitio aunque sus instalaciones sean frágiles o rústicas. También aquellas instalaciones que aun cuando no estén enclavadas al suelo no pueden ser removidas de donde están, aunque lleven a cabo actividades que tienen carácter temporal o estacional, siempre y cuando permanezcan activas y en un solo lugar durante un periodo de por lo menos tres meses seguidos."
latitud,latitud,numérico,20,"Es la distancia que existe entre la unidad económica y el ecuador, medida sobre el meridiano que pasa por dicho punto."
longitud,longitud,numérico,20,"Es la distancia que existe entre la unidad económica y el meridiano de Greenwich, medida sobre el paralelo que pasa por dicho punto."
fecha_alta,fecha_alta,alfanumérico,15,Fecha en la que la unidad económica se integró al Directorio Estadístico Nacional de Unidades Económicas y al Registro Estadístico de Negocios de México (RENEM).
